0.121,-0.24915
0.791,-2.0657
0.505,-1.021
0.142,-0.21394
0.085,-0.36989
0.369,-0.19267
0.093,-0.48867
0.024,-0.78659
0.841,-1.8242
0.001,-0.96411
0.354,-0.25929
0.478,-0.83684
0.936,-1.405
0.379,-0.27635
0.18,-0.18743
0.103,-0.37531
0.938,-1.2395
0.927,-1.3817
0.046,-0.66788
0.717,-2.0132
0.999,-1.0239
0.413,-0.585
0.082,-0.53395
0.255,0.077895
0.914,-1.52
0.896,-1.6063
0.099,-0.54223
0.899,-1.55
0.48,-0.85787
0.466,-0.85234
0.827,-1.8464
0.395,-0.39141
0.701,-1.9584
0.889,-1.6887
0.823,-1.8811
0.755,-1.9104
0.151,-0.096721
0.989,-1.0964
0.452,-0.68463
0.673,-1.8736
0.032,-0.79818
0.176,-0.043246
0.402,-0.43574
0.797,-2.0822
0.677,-1.9061
0.253,-0.08612
0.243,-0.058274
0.996,-1.0606
0.765,-2.0136
0.81,-1.9474
0.223,-0.029027
0.248,-0.052604
0.358,-0.24087
0.263,-0.0051455
0.522,-1.1689
0.754,-2.0742
0.959,-1.2931
0.372,-0.24432
0.566,-1.3644
0.762,-2.0588
0.562,-1.3848
0.04,-0.79444
0.488,-0.95872
0.445,-0.61702
0.919,-1.5242
0.756,-1.991
0.3,-0.028717
0.574,-1.4253
0.02,-0.87435
0.221,0.022795
0.104,-0.45542
0.387,-0.35221
0.878,-1.7422
0.043,-0.71124
0.691,-1.9557
0.653,-1.8763
0.303,-0.10045
0.385,-0.32503
0.489,-0.91174
0.599,-1.5482
0.625,-1.6577
0.676,-1.7693
0.68,-1.9271
0.38,-0.29478
0.184,-0.026166
0.438,-0.63619
0.663,-1.7749
0.084,-0.4307
0.534,-1.1846
0.328,-0.17253
0.021,-0.88564
0.131,-0.24111
0.683,-1.8795
0.045,-0.81422
0.359,-0.24057
0.485,-0.86825
0.075,-0.49889
0.785,-2.0374
0.192,-0.094
0.681,-1.96
0.974,-1.2232
0.962,-1.3858
0.412,-0.40384
0.877,-1.6966
0.375,-0.29933
0.381,-0.33326
0.725,-1.9459
0.434,-0.64621
0.893,-1.5459
0.157,-0.17727
0.789,-1.956
0.347,-0.15595
0.902,-1.6101
0.041,-0.77483
0.312,-0.024571
