0.73,0.63,-3.5093
0.1,0.72,-2.37
0.58,0.22,-1.3795
0.81,0.45,-2.7763
0.69,0.37,-2.4684
0.94,0.98,-4.3095
0.42,0.96,-3.4433
0.01,0.07,-0.28694
0.41,0.44,-1.1911
0,0.76,-3.0298
0.62,0.96,-4.4743
0.62,0.64,-3.3005
0.62,0.84,-4.0609
0.68,0.32,-2.2075
0.11,0.47,-1.1987
0,0.37,-1.5343
0.44,0.12,-0.0809
0.43,0.16,-0.30209
0.07,0.51,-1.7415
0.98,0.77,-3.1972
0.03,0.39,-1.4878
0.71,0.37,-2.4675
0.99,0.27,-1.2455
0.36,0.58,-1.5149
0.13,0.84,-2.7077
0.22,0.34,-0.39028
0.47,0.41,-1.467
0.19,0.08,0.64545
0.32,0.73,-1.9315
0.96,0.33,-1.5573
0.7,0.91,-4.582
0.53,0.63,-2.6209
0.61,0.39,-2.177
0.23,0.82,-2.3688
0.52,0.7,-2.9413
0.27,0.2,0.2229
0.7,1,-4.9686
0.95,0.56,-2.5141
0.7,0.71,-3.8001
0.79,0.37,-2.4647
0.9,0.49,-2.551
0.01,0.36,-1.3889
0.61,0.98,-4.5757
0.07,0.28,-0.73168
0.41,0.77,-2.4862
0.29,0.96,-2.8987
0.16,0.61,-1.6044
0.21,0.47,-0.91366
0.41,0.35,-0.79997
0.55,0.46,-2.2213
0.6,0.11,-1.0625
0.78,0.94,-4.6956
0.72,0.03,-1.1323
0.57,0.48,-2.2991
0.28,0.99,-3.0513
0.49,0.44,-1.7114
0.38,0.95,-3.1224
0.45,0.35,-0.94317
0.03,0.85,-3.2136
0.06,0.05,0.28482
0.35,0.96,-2.994
0.78,0.11,-1.4377
0.89,0.12,-1.2613
0.25,0.17,0.26957
0.63,0.12,-1.1596
0.88,0.87,-4.1726
0.95,0.53,-2.3875
0.27,0.93,-2.7408
0.72,0.75,-3.9998
0.63,0.02,-0.77364
0.05,0.82,-3.1022
0.58,0.62,-3.0716
0.71,0.49,-2.8894
0.74,0,-1.0497
0.12,0.71,-2.1418
0.26,0.35,-0.44494
0.48,0.23,-0.81043
0.39,0.6,-1.8551
0.14,0.45,-1.1137
0,0.32,-1.2406
0.6,0.34,-1.8484
0.53,0.9,-3.823
0.1,0.79,-2.5765
0.01,0.8,-3.134
0.53,0.21,-0.98206
0.37,0.89,-2.9649
0.63,0,-0.74815
0.7,0.42,-2.6382
0.04,0.67,-2.4388
0.38,0.08,0.37795
0.15,0.19,0.084974
0.48,0.09,-0.25033
0.98,0.14,-0.69316
0.23,0.11,0.48798
0.8,0.95,-4.6778
0.51,0.77,-3.2135
0.54,0.87,-3.6808
0.59,0.16,-1.2258
0.11,0.95,-3.0249
0.39,0.98,-3.267
0.01,0.45,-1.7813
0.17,0.25,-0.15683
0.34,0.3,-0.31919
0.09,0.05,0.43376
0.26,0.25,0.03104
0.04,0.85,-3.1478
0.52,0.12,-0.55892
0.48,0.86,-3.3086
0.78,0.42,-2.6559
0.74,0.68,-3.6146
0.72,0.35,-2.382
0.1,0.21,-0.30119
0.86,0.95,-4.5829
0.68,0.59,-3.3118
0.05,0.2,-0.48344
0.09,0.17,-0.11358
0.02,0.64,-2.4009
0.53,0.98,-4.0732
0.01,0.11,-0.36436
0.64,0.24,-1.7775
0.58,0.47,-2.326
0.63,0.51,-2.6943
0.25,0.94,-2.7992
0.05,0.56,-1.975
0.55,0.89,-3.8998
0.69,0.12,-1.3535
0.82,0.24,-1.8948
0.52,0.79,-3.3172
0.3,0.02,0.87952
0.76,0.2,-1.8505
0.87,0.83,-4.0805
0.46,0.51,-1.7083
0.05,0.83,-3.1204
0.9,0.07,-0.85285
0.88,0.3,-1.8679
0.99,0.82,-3.3058
0.81,0.48,-2.8791
0.72,0.82,-4.3438
0.34,0.09,0.42397
0.76,0.41,-2.6072
0.89,0.9,-4.3416
0.58,0.51,-2.3429
0.87,0.28,-1.8924
0.94,0.36,-1.8613
0.72,0.8,-4.1411
0.92,0.69,-3.1537
0.37,0.11,0.25036
0.91,0.89,-4.0851
0.06,0.62,-2.1508
0.71,0.45,-2.7758
0.71,0.9,-4.6235
0.69,0.19,-1.6571
0.54,0.63,-2.7767
0.74,0.85,-4.4104
0.94,0.03,-0.48482
0.24,0.77,-2.103
0.69,0.47,-2.8149
0.73,0.24,-1.9575
0.22,0.69,-1.771
0.68,0,-0.89866
0.72,0.53,-3.1257
0.44,0.39,-1.2022
0.15,0.68,-1.888
0.79,0.06,-1.2393
0.2,0.62,-1.5063
0.83,0.01,-0.93003
0.18,0.97,-2.9329
0.22,0.33,-0.29899
0.12,0.32,-0.52332
0.3,0.9,-2.7036
0.59,0.36,-1.848
0.42,0.59,-1.8973
0.99,0.34,-1.4004
0.83,0.13,-1.4169
0.45,0.11,-0.18762
0.53,0.96,-4.0025
0.13,0.1,0.34295
0.41,0.79,-2.6394
0.78,0.97,-4.9165
0.51,0.88,-3.6276
0.54,0.6,-2.6328
0.52,0.58,-2.3524
0.32,0.79,-2.2798
0.9,0.18,-1.1761
0.66,0.1,-1.2941
0.21,0.14,0.38992
0.25,0.76,-1.9338
0.95,0.25,-1.2356
0.19,0.04,0.77964
0.8,0.18,-1.5972
0.81,0.2,-1.8379
0.78,0.63,-3.517
0.5,0.86,-3.5061
0.17,0.29,-0.40198
0.63,0.04,-0.91482
0.49,0.8,-3.1501
0.5,0.98,-3.9217
0.73,0.43,-2.7164
0.98,0.99,-4.122
0.44,0.67,-2.3714
0.82,0.1,-1.3241
0.72,0.83,-4.399
0.55,0.97,-4.2445
0.56,0.15,-0.91712
0.69,0.49,-2.8702
0.86,0.61,-3.2326
0.45,0.41,-1.3889
0.7,0.12,-1.4271
0.29,0.8,-2.1941
0.14,0.36,-0.58447
0.54,0.96,-4.2095
0.2,0.54,-1.1771
0.7,0.98,-4.9013
0.16,0.09,0.63036
0.25,0.49,-0.99776
0.62,0.1,-1.083
0.38,0.36,-0.74872
0.43,0.27,-0.6129
0.87,0.14,-1.3284
0.05,0.16,-0.31771
0.73,0.88,-4.4953
0.38,0.78,-2.4717
0.03,0.29,-0.93301
0.79,0.62,-3.5044
0.42,0.5,-1.5434
0.04,0.79,-2.8799
0.01,0.18,-0.68602
0.99,0.95,-3.9013
0.75,0.71,-3.8837
0.41,0.91,-3.2054
0.82,0.7,-3.7724
0.44,0.57,-1.9582
0.37,0.25,-0.26774
0.11,0.62,-1.8043
0.9,0.83,-4.0147
0.07,0.04,0.24584
0.72,0.6,-3.3552
0.35,0.88,-2.6131
0.86,0.18,-1.4563
0.28,0.22,0.10372
0.12,0.65,-1.9614
0.49,0.78,-3.0761
0.86,0.41,-2.4915
0.08,0.19,-0.29676
0.29,0.61,-1.5215
0.44,0.62,-2.1072
0.61,0.57,-2.8554
0.96,0.85,-3.5722
0.16,0.12,0.24152
0.96,0.66,-2.9639
0,0.13,-0.4942
0.37,0.1,0.35491
0.08,0.57,-1.8426
0.97,0.11,-0.61394
0.5,0.5,-2.0505
0.4,0.39,-0.87797
0.3,0.85,-2.294
0.9,0.22,-1.5968
0.14,0.08,0.50716
0.25,0.98,-2.8818
0.68,0.72,-3.7697
0.81,0.63,-3.3918
0.88,0.43,-2.4041
0.07,0.15,-0.19
0.79,0.49,-2.8755
0.85,0.5,-2.8032
0.92,0.24,-1.4377
0.83,0.8,-4.1303
0.21,0.2,0.13974
0.89,0.46,-2.4889
0.45,0.18,-0.4539
0.85,0.89,-4.3517
0.46,0.18,-0.46745
0.84,0.49,-2.8033
0.61,0.92,-4.3529
0.84,0.48,-2.8284
0.87,0.67,-3.3932
0.11,0.63,-1.8655
0.53,0.82,-3.4277
0.03,0.21,-0.76066
0.16,0.2,0.0992
0.4,0.73,-2.2804
0.87,0.27,-1.7557
0.3,0.54,-1.2256
0.84,0.62,-3.36
0.74,0.08,-1.2658
0.23,0.78,-2.1167
0.99,0.1,-0.40522
0.58,0.42,-2.0525
0.25,0.05,0.77782
0.89,0.1,-1.0205
0.49,0.74,-2.8848
0.31,0.47,-0.99458
0.26,0.88,-2.6125
0.3,0.74,-2.0222
0.92,0.55,-2.7664
0.52,0.49,-2.0061
0.48,0.77,-2.9597
0.14,0.85,-2.6003
0.31,0.95,-2.7914
0.18,0.87,-2.6663
0.74,0.96,-4.8281
0.98,0.42,-1.7229
0.51,0.27,-1.2236
0.95,0.8,-3.5586
0.48,0.26,-0.82364
0.27,0.73,-1.8727
0.67,0.59,-3.2175
0.65,0.86,-4.1952
0.87,0.59,-3.1212
0.76,0.92,-4.7157
0.15,0.11,0.44743
0.41,0.93,-3.2317
0.38,0.4,-0.84672
0.04,0.01,0.21664
0.22,0.83,-2.3155
0.83,0.87,-4.2579
0.89,0.67,-3.3246
0.6,0.64,-3.0817
0.92,0.74,-3.4977
0.94,0.73,-3.3474
0.38,0.38,-0.95386
0.09,0.81,-2.7903
0.49,0.35,-1.4078
0.37,0.94,-3.069
0.63,0.79,-3.8051
0.58,0.98,-4.3615
0.74,0.35,-2.4618
0.96,0.98,-4.098
0.95,0.57,-2.6279
0.84,0.16,-1.4861
0.22,0.6,-1.3266
0.51,0.06,-0.28033
0.36,0.09,0.41306
0.85,0.18,-1.5749
0.88,0.09,-1.0993
0.54,0.3,-1.4077
0.5,0.84,-3.3926
0.49,0.04,-0.20257
0.15,0.39,-0.85118
0.76,0.28,-2.0634
0.11,0.28,-0.47986
0.57,0.79,-3.6726
0.98,0.33,-1.4822
0.26,0.81,-2.1742
0.34,0.5,-1.1107
0.43,0.3,-0.77017
0.84,0.64,-3.3634
0.59,0.62,-2.9534
0.34,0.8,-2.3722
0.91,0.74,-3.4782
0.48,0.4,-1.507
0.49,0.38,-1.5034
0.12,0.04,0.50732
0.88,0.89,-4.2783
0.19,0.34,-0.42518
0.71,0.33,-2.3459
0.93,0.06,-0.68214
0.45,0.15,-0.31653
0.85,0.79,-3.9684
0.63,0.14,-1.3224
0.89,0.85,-4.0039
0.76,0.32,-2.3226
0.9,0.61,-3.0904
0.99,0.65,-2.594
